"species"	"phyllotaxy"	"tube_lo"	"tube_hi"	"meantube"	"beak_lo"	"beak_hi"	"meanbeak"	"nectar"	"stigmapos"	"beehav"	"avg_color"	"simple_stigma"	"pollination observed (1) inferred (0)"
"rudis"	1	12		12	0		0	1	"Tb"	0	"yellow"	"DT"	1
"rupicola"	0	10		10	0		0	1	"Tb"	0	"red"	"DT"	0
"salviiflora"	0	14	24	19	0		0	1	"Ab"	0	"red"	"DA"	0
"scolopax"	0	10		10	3		3	0	"A"	1	"yellow"	"VA"	0
"semitorta"	0	10	11	10.5	5	7	6	0	"T-lateral"	1	"red"	"T-lateral"	1
"sigmoidea"	1	32	55	43.5	10	15	12.5	0	"A"	1	"red, white"	"VA"	0
"sima"	0	8		8	0		0	1	"Tb"	0	"red"	"DT"	0
"siphonantha"	1	40	70	55	11		11	0	"T-lateral"	1	"red, white"	"T-lateral"	1
"smithiana"	0	8	10	9	4		4	0	"A"	1	"yellow, red"	"VA"	0
"souliei"	1	5	7	6	7		7	0	"T"	1	"red, white"	"VT"	1
"sphaerantha"	0	7.5		7.5	8		8	0	"A"	1	"red, white"	"VA"	1
"steiningeri"	1	12		12	0		0	1	"A"	0	"yellow"	"DA"	1
"streptorhyncha"	1	13	15	14	17		17	0	"A-lateral"	1	"red, white"	"A-lateral"	0
"superba"	0	15	30	22.5	2	4	3	0	"Ab"	1	"red"	"DA"	1
"szetschuanica"	0	10		10	0		0	1	"Tb"	0	"red"	"DT"	1
"tahaiensis"	1	11	15	13	4	5	4.5	0	"A"	0	"red"	"VA"	0
"tantalorhyncha"	0	10		10	4	6	5	0	"A"	1	"red"	"VA"	0
"tatsienensis"	0	12		12	2	3	2.5	0	"Ab"	0	"red, white"	"DA"	0
"tenuisecta"	0	12	18	15	0		0	1	"T-lateral"	0	"red"	"DT"	1
"ternata"	0	16		16	0		0	1	"Tb"	0	"red"	"DT"	0
"thamnophila"	0	14	16	15	0		0	1	"Tb"	0	"yellow"	"DT"	0
"tibetica"	1	6	7	6.5	5	6	5.5	0	"Tb"	0		"DT"	0
"trichocymba"	1	16	20	18	2		2	0	"Ab"	1	"yellow"	"DA"	1
"trichoglossa"	1	10		10	5		5	0	"T"	1	"red"	"VT"	1
"tricolor"	1	35	50	42.5	15	17	16	0	"T-lateral"	0	"yellow"	"T-lateral"	1
"tristis"	1	15		15	0		0	1	"Tb"	0	"yellow"	"DT"	0
"urceolata"	0	27	30	28.5	5	6	5.5	0	"A"	1	"red, white"	"VA"	1
"verticillata"	0	6	9	7.5	0		0	1	"Tb"	0	"red"	"DT"	1
"yunnanensis"	1	18	20	19	4.5		4.5	0	"A"	1	"red"	"VA"	0
